,Wikipedia Movie ID,anger,anticipation,disgust,fear,joy,sadness,surprise,trust
2435,1094719,15.153,6.828,8.45,23.52,10.384,21.19,3.929,9.494
2436,30473945,0.495,0.977,0.438,2.156,1.5230000000000001,1.15,0.891,0.414
2437,34346480,5.753,7.763,4.096,9.235,7.033,7.017,6.577,7.08
2438,26241300,2.17,4.856,1.665,2.3339999999999996,6.671,0.6880000000000001,1.0710000000000002,8.337
2439,16777096,1.604,4.368,1.7570000000000001,2.156,3.809,1.188,1.704,3.8360000000000003
2440,31120905,0.574,0.398,1.086,1.308,0.258,0.915,0.578,1.2109999999999999
2441,1122412,0.844,1.46,0.711,3.051,1.413,0.0,0.648,2.8200000000000003
2442,19259663,0.522,0.993,0.0,1.2349999999999999,2.563,2.0620000000000003,0.663,1.141
2443,14401906,2.666,1.242,1.222,3.533,0.876,2.551,2.297,0.719
2444,5283093,13.42,10.764,15.015,22.933,7.708,15.942,9.696,14.118
2445,6986799,5.011,5.648,2.663,4.945,10.228,6.073,2.875,10.828
2446,17776062,2.087,0.812,0.461,0.435,2.216,0.42300000000000004,0.0,2.5309999999999997
2447,23862669,5.497,3.2520000000000002,1.805,4.07,0.18,2.427,1.687,3.047
2448,16908874,0.348,0.0,0.445,0.0,0.406,1.1320000000000001,0.0,1.689
2449,7210856,0.0,1.008,0.125,0.75,0.595,0.516,1.047,0.453
2450,924857,3.3529999999999998,7.8260000000000005,5.906,6.446,12.652000000000001,6.349,2.5380000000000003,8.521
2451,8195278,6.22,1.851,1.6880000000000002,9.16,0.156,4.287,1.516,2.562
2452,243204,21.055,9.593,13.923,34.66,9.644,23.416,7.881,15.578
2453,6804178,1.658,0.918,1.922,1.8690000000000002,0.312,0.833,1.563,0.391
2454,7804238,0.348,2.766,0.445,0.031,3.701,0.585,0.907,5.85
2455,10103122,10.331,10.41,2.978,21.563,13.39,9.366,6.398,10.295
2456,24122710,3.0460000000000003,1.266,1.5230000000000001,4.375,0.406,3.672,0.711,1.1480000000000001
2457,2748709,10.953,4.758,6.076,19.152,2.493,14.761000000000001,2.882,16.251
2458,33726624,4.572,7.133,3.117,7.609,11.292,7.26,3.822,20.674
2459,1713779,4.974,7.678,1.562,9.791,7.44,4.203,2.632,8.907
2460,20872882,0.0,2.1710000000000003,0.625,3.394,4.267,2.042,0.804,2.281
2461,32583135,0.061,0.969,0.805,0.8640000000000001,3.153,1.246,0.242,3.9930000000000003
2462,26551541,5.949,3.343,2.494,10.028,2.42,4.574,0.984,6.515
2463,5388717,13.614,14.062000000000001,4.9750000000000005,16.248,21.41,13.999,6.9990000000000006,25.202
2464,2724049,1.967,2.6470000000000002,0.086,1.879,9.446,1.068,1.524,6.033
2465,6273971,5.208,7.192,2.3120000000000003,6.449,4.926,3.0580000000000003,0.297,8.422
2466,13911356,2.4,1.1019999999999999,0.648,1.5819999999999999,0.531,0.844,0.203,0.992
2467,18620128,4.477,3.82,3.196,4.164,2.4779999999999998,4.487,6.194,2.852
2468,5807181,0.0,2.024,1.328,0.328,1.6440000000000001,0.952,0.25,1.487
2469,7738646,9.41,14.032,6.0,10.042,14.491,12.538,5.555,29.831
2470,10972714,2.037,0.742,1.204,2.204,0.636,0.0,0.805,2.148
2471,27686452,3.709,8.757,1.571,9.532,15.593,8.619,3.437,16.772
2472,24491249,2.694,0.367,0.839,2.702,0.258,1.7959999999999998,0.617,3.46
2473,21256010,1.951,1.5859999999999999,0.0,3.074,1.5450000000000002,1.726,0.0,5.306
2474,23751392,4.508,4.187,2.172,6.994,4.882,2.2590000000000003,2.2889999999999997,9.382
2475,12157553,0.667,0.383,0.8280000000000001,0.625,0.438,0.0,0.477,1.3359999999999999
